"code.source","code.target","Relationship","adjustment","group.id"
10111,151,"n:n","1992 to 1988",1
10111,152,"n:n","1992 to 1988",1
10119,151,"n:n","1992 to 1988",1
10119,152,"n:n","1992 to 1988",1
10120,151,"n:n","1992 to 1988",1
10120,152,"n:n","1992 to 1988",1
10210,111,"1:1","1992 to 1988",NA
10290,119,"1:1","1992 to 1988",NA
10310,131,"1:1","1992 to 1988",NA
10391,139,"n:1","1992 to 1988",NA
10392,139,"n:1","1992 to 1988",NA
10410,121,"1:1","1992 to 1988",NA
10420,122,"1:1","1992 to 1988",NA
10511,141,"n:1","1992 to 1988",NA
10519,141,"n:1","1992 to 1988",NA
10591,149,"n:1","1992 to 1988",NA
10599,149,"n:1","1992 to 1988",NA
10600,19,"1:1","1992 to 1988",NA
20110,1111,"n:1","1992 to 1988",NA
20120,1111,"n:1","1992 to 1988",NA
20130,1112,"1:1","1992 to 1988",NA
20210,1121,"n:1","1992 to 1988",NA
20220,1121,"n:1","1992 to 1988",NA
20230,1122,"1:1","1992 to 1988",NA
20311,1221,"n:1","1992 to 1988",NA
20312,1221,"n:1","1992 to 1988",NA
20319,1221,"n:1","1992 to 1988",NA
20321,1222,"n:1","1992 to 1988",NA
20322,1222,"n:1","1992 to 1988",NA
20329,1222,"n:1","1992 to 1988",NA
20410,1211,"n:1","1992 to 1988",NA
20421,1211,"n:1","1992 to 1988",NA
20422,1211,"n:1","1992 to 1988",NA
20423,1211,"n:1","1992 to 1988",NA
20430,1212,"n:1","1992 to 1988",NA
20441,1212,"n:1","1992 to 1988",NA
20442,1212,"n:1","1992 to 1988",NA
20443,1212,"n:1","1992 to 1988",NA
20450,1213,"1:1","1992 to 1988",NA
20500,124,"1:1","1992 to 1988",NA
20610,1251,"1:1","1992 to 1988",NA
20621,1252,"n:1","1992 to 1988",NA
20622,1252,"n:1","1992 to 1988",NA
20629,1252,"n:1","1992 to 1988",NA
20630,1253,"1:1","1992 to 1988",NA
20641,1254,"n:1","1992 to 1988",NA
20649,1254,"n:1","1992 to 1988",NA
20680,1255,"1:1","1992 to 1988",NA
20690,1256,"1:1","1992 to 1988",NA
20710,1231,"1:1","1992 to 1988",NA
20721,1232,"n:1","1992 to 1988",NA
20722,1232,"n:1","1992 to 1988",NA
20723,1232,"n:1","1992 to 1988",NA
20731,1233,"1:1","1992 to 1988",NA
20739,1234,"1:1","1992 to 1988",NA
20741,1235,"n:n","1992 to 1988",2
20741,1236,"n:n","1992 to 1988",2
20742,1235,"n:n","1992 to 1988",2
20742,1236,"n:n","1992 to 1988",2
20743,1235,"n:n","1992 to 1988",2
20743,1236,"n:n","1992 to 1988",2
20750,1235,"n:n","1992 to 1988",2
20750,1236,"n:n","1992 to 1988",2
20810,1291,"1:1","1992 to 1988",NA
20820,1292,"n:n","1992 to 1988",3
20820,1299,"n:n","1992 to 1988",3
20890,1292,"n:n","1992 to 1988",3
20890,1299,"n:n","1992 to 1988",3
20900,41131,"1:1","1992 to 1988",NA
21011,1611,"1:1","1992 to 1988",NA
21012,1612,"1:1","1992 to 1988",NA
21019,1619,"1:1","1992 to 1988",NA
21020,1681,"1:1","1992 to 1988",NA
21090,1689,"1:1","1992 to 1988",NA
30110,3411,"n:1","1992 to 1988",NA
30191,3411,"n:1","1992 to 1988",NA
